sku_id,product_name,category,eoq,reorder_point_optimized,safety_stock_optimized,reorder_point_current,safety_stock_current,rop_difference,safety_stock_difference,potential_savings
SKU0158,Laptops_0158,Laptops,68,2165,185,583.0,766.0,1582.0,-581.0,888262.3091999999
SKU0177,Laptops_0177,Laptops,110,4455,424,1096.0,736.0,3359.0,-312.0,800756.2663799998
SKU0188,Smartphones_0188,Smartphones,91,3619,317,881.0,462.0,2738.0,-145.0,783431.3519999998
SKU0177,Laptops_0177,Laptops,110,4455,424,1143.0,825.0,3312.0,-401.0,782394.5083799999
SKU0039,Smartphones_0039,Smartphones,120,8611,639,1827.0,441.0,6784.0,198.0,762988.7685000001
SKU0099,Tablets_0099,Tablets,64,1701,154,1604.0,526.0,97.0,-372.0,760031.84376
SKU0099,Tablets_0099,Tablets,64,1701,154,974.0,380.0,727.0,-226.0,759551.41908
SKU0187,Laptops_0187,Laptops,90,4742,356,919.0,379.0,3823.0,-23.0,756214.4097
SKU0195,Laptops_0195,Laptops,101,5583,450,968.0,274.0,4615.0,176.0,738662.719275
SKU0188,Smartphones_0188,Smartphones,91,3619,317,1442.0,519.0,2177.0,-202.0,729272.8079999998
SKU0195,Laptops_0195,Laptops,101,5583,450,1268.0,819.0,4315.0,-369.0,714489.883965
SKU0195,Laptops_0195,Laptops,101,5583,450,1986.0,601.0,3597.0,-151.0,711881.304615
SKU0039,Smartphones_0039,Smartphones,120,8611,639,904.0,665.0,7707.0,-26.0,707132.23224
SKU0039,Smartphones_0039,Smartphones,120,8611,639,650.0,625.0,7961.0,14.0,700606.0390000001
SKU0181,Laptops_0181,Laptops,77,3064,240,1308.0,383.0,1756.0,-143.0,700043.920875
SKU0099,Tablets_0099,Tablets,64,1701,154,1462.0,355.0,239.0,-201.0,692932.53012
SKU0102,Tablets_0102,Tablets,53,767,82,1388.0,768.0,-621.0,-686.0,690198.9963750001
SKU0188,Smartphones_0188,Smartphones,91,3619,317,1796.0,586.0,1823.0,-269.0,683093.7359999999
SKU0158,Laptops_0158,Laptops,68,2165,185,1143.0,917.0,1022.0,-732.0,664793.0303999999
SKU0128,Laptops_0128,Laptops,122,4305,411,1044.0,402.0,3261.0,9.0,661991.73
SKU0099,Tablets_0099,Tablets,64,1701,154,1776.0,790.0,-75.0,-636.0,661224.50124
SKU0158,Laptops_0158,Laptops,68,2165,185,802.0,509.0,1363.0,-324.0,656557.9815999999
SKU0187,Laptops_0187,Laptops,90,4742,356,675.0,204.0,4067.0,152.0,655825.9734
SKU0070,Laptops_0070,Laptops,79,1766,176,1590.0,970.0,176.0,-794.0,653054.5121099999
SKU0195,Laptops_0195,Laptops,101,5583,450,1791.0,345.0,3792.0,105.0,652753.506015
SKU0099,Tablets_0099,Tablets,64,1701,154,901.0,392.0,800.0,-238.0,646491.47772
SKU0006,Tablets_0006,Tablets,78,2831,226,1553.0,767.0,1278.0,-541.0,645335.0832599999
SKU0006,Tablets_0006,Tablets,78,2831,226,512.0,218.0,2319.0,8.0,636784.7194799999
SKU0048,Smartphones_0048,Smartphones,128,7277,555,1861.0,232.0,5416.0,323.0,631657.4556
SKU0158,Laptops_0158,Laptops,68,2165,185,899.0,564.0,1266.0,-379.0,625302.2281999999
SKU0187,Laptops_0187,Laptops,90,4742,356,670.0,669.0,4072.0,-313.0,621460.2861
