sku_id,product_name,category,quantity_on_hand,unit_cost,total_value,pct_of_total_value,cumulative_pct,abc_classification
SKU0128,Laptops_0128,Laptops,4977,773.4,3849211.8,0.43,0.43,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,4829,791.23,3820849.67,0.42,0.85,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,4965,767.05,3808403.25,0.42,1.27,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,4977,754.56,3755445.12,0.42,1.69,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,4731,791.23,3743309.13,0.41,2.1,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,4674,796.46,3722654.04,0.41,2.51,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,4718,766.78,3617668.04,0.4,2.92,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,4932,731.24,3606475.68,0.4,3.31,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,4929,731.24,3604281.96,0.4,3.71,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,4659,766.78,3572428.02,0.4,4.11,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,4840,737.42,3569112.8,0.4,4.51,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,4658,754.56,3514740.48,0.39,4.89,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,4740,737.42,3495370.8,0.39,5.28,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,4383,796.46,3490884.18,0.39,5.67,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,4868,714.3,3477212.4,0.39,6.05,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,4349,796.46,3463804.54,0.38,6.44,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,4375,791.23,3461631.25,0.38,6.82,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,4443,766.78,3406803.54,0.38,7.2,A - High Value (Top 80%)
SKU0048,Smartphones_0048,Smartphones,4949,688.11,3405456.39,0.38,7.58,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,4748,704.07,3342924.36,0.37,7.95,A - High Value (Top 80%)
SKU0097,Laptops_0097,Laptops,4642,718.31,3334395.02,0.37,8.31,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,4386,754.56,3309500.16,0.37,8.68,A - High Value (Top 80%)
SKU0181,Laptops_0181,Laptops,4852,680.29,3300767.08,0.37,9.05,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,4513,731.24,3300086.12,0.37,9.41,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,4657,703.92,3278155.44,0.36,9.78,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,4609,704.07,3245058.63,0.36,10.14,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,4594,704.07,3234497.58,0.36,10.49,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,4315,731.24,3155300.6,0.35,10.84,A - High Value (Top 80%)
SKU0102,Tablets_0102,Tablets,4872,643.97,3137421.84,0.35,11.19,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,4223,731.24,3088026.52,0.34,11.53,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,4009,766.78,3074021.02,0.34,11.87,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,4703,651.09,3062076.27,0.34,12.21,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,4275,714.3,3053632.5,0.34,12.55,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,4022,754.56,3034840.32,0.34,12.89,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,3822,791.23,3024081.06,0.33,13.22,A - High Value (Top 80%)
SKU0070,Laptops_0070,Laptops,4962,608.79,3020815.98,0.33,13.56,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,4615,651.09,3004780.35,0.33,13.89,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,4254,704.07,2995113.78,0.33,14.22,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,4072,714.3,2908629.6,0.32,14.54,A - High Value (Top 80%)
