sku_id,product_name,category,warehouse_id,warehouse_name,avg_inventory_value,annual_cogs,inventory_turnover_ratio,days_inventory_on_hand,movement_category
SKU0196,Components_0196,Components,WH03,Houston Distribution Center,22.26,159604.2,7170.0,0.1,Fast Moving
SKU0130,Accessories_0130,Accessories,WH15,Seattle Distribution Center,134.4,759321.6,5649.71,0.1,Fast Moving
SKU0014,Accessories_0014,Accessories,WH06,San Antonio Distribution Center,397.8,973297.26,2446.7,0.1,Fast Moving
SKU0161,Tablets_0161,Tablets,WH02,Chicago Distribution Center,4039.11,5577113.33,1380.78,0.3,Fast Moving
SKU0183,Tablets_0183,Tablets,WH04,Phoenix Distribution Center,8524.56,11488975.74,1347.75,0.3,Fast Moving
SKU0064,Accessories_0064,Accessories,WH13,Columbus Distribution Center,2217.48,2101649.28,947.76,0.4,Fast Moving
SKU0009,Accessories_0009,Accessories,WH08,Dallas Distribution Center,4160.2,3860098.3,927.86,0.4,Fast Moving
SKU0013,Laptops_0013,Laptops,WH13,Columbus Distribution Center,13026.6,10580204.52,812.2,0.4,Fast Moving
SKU0184,Accessories_0184,Accessories,WH08,Dallas Distribution Center,2525.32,1385921.74,548.81,0.7,Fast Moving
SKU0152,Accessories_0152,Accessories,WH15,Seattle Distribution Center,1138.8,548638.8,481.77,0.8,Fast Moving
SKU0153,Components_0153,Components,WH12,Fort Worth Distribution Center,666.88,302596.8,453.75,0.8,Fast Moving
SKU0188,Smartphones_0188,Smartphones,WH13,Columbus Distribution Center,22636.8,10163168.64,448.97,0.8,Fast Moving
SKU0160,Smartphones_0160,Smartphones,WH04,Phoenix Distribution Center,18881.61,7723229.58,409.03,0.9,Fast Moving
SKU0155,Accessories_0155,Accessories,WH05,Philadelphia Distribution Center,3750.88,1474028.86,392.98,0.9,Fast Moving
SKU0131,Accessories_0131,Accessories,WH02,Chicago Distribution Center,3496.0,1213417.9,347.09,1.1,Fast Moving
SKU0198,Wearables_0198,Wearables,WH15,Seattle Distribution Center,1837.76,587910.91,319.91,1.1,Fast Moving
SKU0038,Accessories_0038,Accessories,WH03,Houston Distribution Center,9898.2,2677849.2,270.54,1.3,Fast Moving
SKU0014,Accessories_0014,Accessories,WH10,Austin Distribution Center,4097.34,973297.26,237.54,1.5,Fast Moving
SKU0094,Components_0094,Components,WH14,Charlotte Distribution Center,2491.24,573761.16,230.31,1.6,Fast Moving
SKU0131,Accessories_0131,Accessories,WH14,Charlotte Distribution Center,6118.0,1213417.9,198.34,1.8,Fast Moving
SKU0115,Tablets_0115,Tablets,WH10,Austin Distribution Center,43060.15,7716378.88,179.2,2.0,Fast Moving
SKU0130,Accessories_0130,Accessories,WH03,Houston Distribution Center,4396.8,759321.6,172.7,2.1,Fast Moving
SKU0014,Accessories_0014,Accessories,WH05,Philadelphia Distribution Center,6245.46,973297.26,155.84,2.3,Fast Moving
SKU0048,Smartphones_0048,Smartphones,WH04,Phoenix Distribution Center,101840.28,15369624.96,150.92,2.4,Fast Moving
SKU0011,Smartphones_0011,Smartphones,WH05,Philadelphia Distribution Center,20621.82,3047040.21,147.76,2.5,Fast Moving
SKU0075,Accessories_0075,Accessories,WH12,Fort Worth Distribution Center,3951.79,558361.03,141.29,2.6,Fast Moving
SKU0064,Accessories_0064,Accessories,WH04,Phoenix Distribution Center,15044.08,2101649.28,139.7,2.6,Fast Moving
SKU0173,Accessories_0173,Accessories,WH03,Houston Distribution Center,30458.13,4156499.76,136.47,2.7,Fast Moving
SKU0097,Laptops_0097,Laptops,WH13,Columbus Distribution Center,115647.91,15238228.34,131.76,2.8,Fast Moving
SKU0165,Tablets_0165,Tablets,WH07,San Diego Distribution Center,15050.28,1980396.6,131.59,2.8,Fast Moving
SKU0042,Peripherals_0042,Peripherals,WH11,Jacksonville Distribution Center,1312.5,167568.75,127.67,2.9,Fast Moving
SKU0056,Peripherals_0056,Peripherals,WH05,Philadelphia Distribution Center,4040.32,515722.88,127.64,2.9,Fast Moving
SKU0098,Components_0098,Components,WH06,San Antonio Distribution Center,2258.3,279023.23,123.55,3.0,Fast Moving
SKU0095,Tablets_0095,Tablets,WH09,San Jose Distribution Center,52030.88,6297950.56,121.04,3.0,Fast Moving
SKU0128,Laptops_0128,Laptops,WH02,Chicago Distribution Center,133798.2,16070478.6,120.11,3.0,Fast Moving
SKU0001,Wearables_0001,Wearables,WH07,San Diego Distribution Center,7842.24,934778.67,119.2,3.1,Fast Moving
SKU0156,Tablets_0156,Tablets,WH03,Houston Distribution Center,44977.92,5073169.92,112.79,3.2,Fast Moving
SKU0088,Components_0088,Components,WH10,Austin Distribution Center,3007.13,338415.84,112.54,3.2,Fast Moving
SKU0183,Tablets_0183,Tablets,WH11,Jacksonville Distribution Center,105136.24,11488975.74,109.28,3.3,Fast Moving
SKU0160,Smartphones_0160,Smartphones,WH12,Fort Worth Distribution Center,72270.99,7723229.58,106.86,3.4,Fast Moving
SKU0137,Tablets_0137,Tablets,WH12,Fort Worth Distribution Center,14899.94,1576698.97,105.82,3.4,Fast Moving
SKU0049,Accessories_0049,Accessories,WH10,Austin Distribution Center,17021.24,1782199.06,104.7,3.5,Fast Moving
