sku_id,product_name,category,warehouse_id,quantity_on_hand,total_value,last_sale_date,days_since_last_sale,units_sold_last_90days,days_of_inventory,inventory_status
SKU0102,Tablets_0102,Tablets,WH07,4872,3137421.84,2025-12-31,39.57349178241566,889,493.0,Excess (>180 days)
SKU0051,Components_0051,Components,WH04,4647,40150.08,2025-12-31,39.57349178241566,874,479.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH03,4740,92856.6,2025-12-31,39.57349178241566,913,467.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH08,4992,476636.16,2025-12-31,39.57349178241566,1021,440.0,Excess (>180 days)
SKU0102,Tablets_0102,Tablets,WH10,4261,2743956.17,2025-12-31,39.57349178241566,889,431.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH14,4829,461072.92,2025-12-31,39.57349178241566,1021,426.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH11,4309,84413.31,2025-12-31,39.57349178241566,913,425.0,Excess (>180 days)
SKU0051,Components_0051,Components,WH02,4115,35553.6,2025-12-31,39.57349178241566,874,424.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH09,4698,448565.04,2025-12-31,39.57349178241566,1021,414.0,Excess (>180 days)
SKU0102,Tablets_0102,Tablets,WH11,4053,2610010.41,2025-12-31,39.57349178241566,889,410.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH06,4205,401493.4,2025-12-31,39.57349178241566,1021,371.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH01,4090,390513.2,2025-12-31,39.57349178241566,1021,361.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH04,4053,386980.44,2025-12-31,39.57349178241566,1021,357.0,Excess (>180 days)
SKU0176,Tablets_0176,Tablets,WH06,4099,2740960.31,2025-12-31,39.57349178241566,1059,348.0,Excess (>180 days)
SKU0176,Tablets_0176,Tablets,WH11,4070,2721568.3,2025-12-31,39.57349178241566,1059,346.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH10,3462,67820.58,2025-12-31,39.57349178241566,913,341.0,Excess (>180 days)
SKU0029,Wearables_0029,Wearables,WH06,4413,113369.97,2025-12-31,39.57349178241566,1178,337.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH13,3366,65939.94,2025-12-31,39.57349178241566,913,332.0,Excess (>180 days)
SKU0047,Peripherals_0047,Peripherals,WH03,4723,298351.91,2025-12-31,39.57349178241566,1290,330.0,Excess (>180 days)
SKU0176,Tablets_0176,Tablets,WH15,3851,2575125.19,2025-12-31,39.57349178241566,1059,327.0,Excess (>180 days)
SKU0102,Tablets_0102,Tablets,WH05,3219,2072939.43,2025-12-31,39.57349178241566,889,326.0,Excess (>180 days)
SKU0164,Wearables_0164,Wearables,WH15,4150,311955.5,2025-12-31,39.57349178241566,1148,325.0,Excess (>180 days)
SKU0047,Peripherals_0047,Peripherals,WH07,4459,281675.03,2025-12-31,39.57349178241566,1290,311.0,Excess (>180 days)
SKU0091,Wearables_0091,Wearables,WH10,4913,61854.67,2025-12-31,39.57349178241566,1449,305.0,Excess (>180 days)
SKU0168,Tablets_0168,Tablets,WH14,4738,2695732.48,2025-12-31,39.57349178241566,1407,303.0,Excess (>180 days)
SKU0164,Wearables_0164,Wearables,WH05,3832,288051.44,2025-12-31,39.57349178241566,1148,300.0,Excess (>180 days)
SKU0047,Peripherals_0047,Peripherals,WH05,4301,271694.17,2025-12-31,39.57349178241566,1290,300.0,Excess (>180 days)
SKU0029,Wearables_0029,Wearables,WH02,3929,100936.01,2025-12-31,39.57349178241566,1178,300.0,Excess (>180 days)
SKU0102,Tablets_0102,Tablets,WH09,2937,1891339.89,2025-12-31,39.57349178241566,889,297.0,Excess (>180 days)
SKU0047,Peripherals_0047,Peripherals,WH04,4179,263987.43,2025-12-31,39.57349178241566,1290,292.0,Excess (>180 days)
SKU0189,Tablets_0189,Tablets,WH15,3885,1758195.6,2025-12-31,39.57349178241566,1203,291.0,Excess (>180 days)
SKU0099,Tablets_0099,Tablets,WH08,4932,3606475.68,2025-12-31,39.57349178241566,1553,286.0,Excess (>180 days)
SKU0099,Tablets_0099,Tablets,WH07,4929,3604281.96,2025-12-31,39.57349178241566,1553,286.0,Excess (>180 days)
SKU0102,Tablets_0102,Tablets,WH15,2825,1819215.25,2025-12-31,39.57349178241566,889,286.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH07,2869,56203.71,2025-12-31,39.57349178241566,913,283.0,Excess (>180 days)
SKU0164,Wearables_0164,Wearables,WH09,3599,270536.83,2025-12-31,39.57349178241566,1148,282.0,Excess (>180 days)
SKU0083,Peripherals_0083,Peripherals,WH03,3189,304485.72,2025-12-31,39.57349178241566,1021,281.0,Excess (>180 days)
SKU0047,Peripherals_0047,Peripherals,WH15,3964,250405.88,2025-12-31,39.57349178241566,1290,277.0,Excess (>180 days)
SKU0164,Wearables_0164,Wearables,WH07,3505,263470.85,2025-12-31,39.57349178241566,1148,275.0,Excess (>180 days)
SKU0051,Components_0051,Components,WH14,2655,22939.2,2025-12-31,39.57349178241566,874,273.0,Excess (>180 days)
SKU0190,Wearables_0190,Wearables,WH06,4863,49116.3,2025-12-31,39.57349178241566,1626,269.0,Excess (>180 days)
SKU0190,Wearables_0190,Wearables,WH15,4778,48257.8,2025-12-31,39.57349178241566,1626,264.0,Excess (>180 days)
SKU0099,Tablets_0099,Tablets,WH13,4513,3300086.12,2025-12-31,39.57349178241566,1553,262.0,Excess (>180 days)
SKU0105,Wearables_0105,Wearables,WH15,4884,88058.52,2025-12-31,39.57349178241566,1718,256.0,Excess (>180 days)
SKU0164,Wearables_0164,Wearables,WH10,3248,244152.16,2025-12-31,39.57349178241566,1148,255.0,Excess (>180 days)
SKU0099,Tablets_0099,Tablets,WH14,4315,3155300.6,2025-12-31,39.57349178241566,1553,250.0,Excess (>180 days)
SKU0090,Tablets_0090,Tablets,WH15,4657,3278155.44,2025-12-31,39.57349178241566,1675,250.0,Excess (>180 days)
SKU0171,Wearables_0171,Wearables,WH15,4419,227887.83,2025-12-31,39.57349178241566,1590,250.0,Excess (>180 days)
SKU0200,Components_0200,Components,WH08,4913,165715.49,2025-12-31,39.57349178241566,1790,247.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH15,2495,48877.05,2025-12-31,39.57349178241566,913,246.0,Excess (>180 days)
SKU0099,Tablets_0099,Tablets,WH05,4223,3088026.52,2025-12-31,39.57349178241566,1553,245.0,Excess (>180 days)
SKU0189,Tablets_0189,Tablets,WH10,3267,1478513.52,2025-12-31,39.57349178241566,1203,244.0,Excess (>180 days)
SKU0196,Components_0196,Components,WH06,4774,106269.24,2025-12-31,39.57349178241566,1774,242.0,Excess (>180 days)
SKU0029,Wearables_0029,Wearables,WH05,3174,81540.06,2025-12-31,39.57349178241566,1178,242.0,Excess (>180 days)
SKU0178,Wearables_0178,Wearables,WH15,4970,152827.5,2025-12-31,39.57349178241566,1890,237.0,Excess (>180 days)
SKU0043,Tablets_0043,Tablets,WH06,3567,2252560.5,2025-12-31,39.57349178241566,1353,237.0,Excess (>180 days)
SKU0178,Wearables_0178,Wearables,WH13,4963,152612.25,2025-12-31,39.57349178241566,1890,236.0,Excess (>180 days)
SKU0154,Wearables_0154,Wearables,WH05,2386,46741.74,2025-12-31,39.57349178241566,913,235.0,Excess (>180 days)
SKU0196,Components_0196,Components,WH10,4620,102841.2,2025-12-31,39.57349178241566,1774,234.0,Excess (>180 days)
SKU0056,Peripherals_0056,Peripherals,WH09,4787,327813.76,2025-12-31,39.57349178241566,1860,232.0,Excess (>180 days)
SKU0070,Laptops_0070,Laptops,WH05,4962,3020815.98,2025-12-31,39.57349178241566,1924,232.0,Excess (>180 days)
SKU0189,Tablets_0189,Tablets,WH07,3102,1403841.12,2025-12-31,39.57349178241566,1203,232.0,Excess (>180 days)
SKU0043,Tablets_0043,Tablets,WH08,3470,2191305.0,2025-12-31,39.57349178241566,1353,231.0,Excess (>180 days)
SKU0158,Laptops_0158,Laptops,WH05,4965,3808403.25,2025-12-31,39.57349178241566,1940,230.0,Excess (>180 days)
SKU0119,Components_0119,Components,WH10,4780,67254.6,2025-12-31,39.57349178241566,1891,227.0,Excess (>180 days)
SKU0141,Peripherals_0141,Peripherals,WH03,4836,291949.32,2025-12-31,39.57349178241566,1915,227.0,Excess (>180 days)
SKU0163,Wearables_0163,Wearables,WH03,4991,284087.72,2025-12-31,39.57349178241566,1981,227.0,Excess (>180 days)
SKU0168,Tablets_0168,Tablets,WH09,3556,2023221.76,2025-12-31,39.57349178241566,1407,227.0,Excess (>180 days)
